동별,연령별,항목,2022 년
이화동,25~29세,계,1134
이화동,25~29세,한국인,1011
이화동,25~29세,외국인,123
이화동,30~34세,계,836
이화동,30~34세,한국인,780
이화동,30~34세,외국인,56
이화동,35~39세,계,475
이화동,35~39세,한국인,444
이화동,35~39세,외국인,31
이화동,40~44세,계,468
이화동,40~44세,한국인,457
이화동,40~44세,외국인,11
이화동,45~49세,계,411
이화동,45~49세,한국인,403
이화동,45~49세,외국인,8
이화동,50~54세,계,545
이화동,50~54세,한국인,531
이화동,50~54세,외국인,14
이화동,55~59세,계,528
이화동,55~59세,한국인,514
이화동,55~59세,외국인,14
이화동,60~64세,계,513
이화동,60~64세,한국인,510
이화동,60~64세,외국인,3
이화동,65~69세,계,415
이화동,65~69세,한국인,412
이화동,65~69세,외국인,3
이화동,70~74세,계,321
이화동,70~74세,한국인,318
이화동,70~74세,외국인,3
이화동,75~79세,계,244
이화동,75~79세,한국인,244
이화동,75~79세,외국인,0
이화동,80~84세,계,225
이화동,80~84세,한국인,225
이화동,80~84세,외국인,0
이화동,85~89세,계,110
이화동,85~89세,한국인,110
이화동,85~89세,외국인,0
이화동,90~94세,계,31
이화동,90~94세,한국인,31
이화동,90~94세,외국인,0
이화동,95~99세,계,12
이화동,95~99세,한국인,12
이화동,95~99세,외국인,0
이화동,100세 이상,계,0
이화동,100세 이상,한국인,0
이화동,100세 이상,외국인,0
창신1동,계,계,5383
창신1동,계,한국인,4646
창신1동,계,외국인,737
창신1동,0~4세,계,56
창신1동,0~4세,한국인,49
창신1동,0~4세,외국인,7
창신1동,5~9세,계,71
창신1동,5~9세,한국인,64
창신1동,5~9세,외국인,7
창신1동,10~14세,계,87
창신1동,10~14세,한국인,85
창신1동,10~14세,외국인,2
창신1동,15~19세,계,128
창신1동,15~19세,한국인,108
창신1동,15~19세,외국인,20
창신1동,20~24세,계,418
창신1동,20~24세,한국인,235
창신1동,20~24세,외국인,183
창신1동,25~29세,계,515
창신1동,25~29세,한국인,353
창신1동,25~29세,외국인,162
창신1동,30~34세,계,398
창신1동,30~34세,한국인,330
창신1동,30~34세,외국인,68
창신1동,35~39세,계,299
창신1동,35~39세,한국인,248
창신1동,35~39세,외국인,51
창신1동,40~44세,계,288
창신1동,40~44세,한국인,246
창신1동,40~44세,외국인,42
창신1동,45~49세,계,305
창신1동,45~49세,한국인,271
창신1동,45~49세,외국인,34
창신1동,50~54세,계,463
창신1동,50~54세,한국인,413
창신1동,50~54세,외국인,50
창신1동,55~59세,계,575
창신1동,55~59세,한국인,507
창신1동,55~59세,외국인,68
창신1동,60~64세,계,592
창신1동,60~64세,한국인,561
창신1동,60~64세,외국인,31
창신1동,65~69세,계,431
